"","Comuna","code_comuna"
"222","CURACO DE VÉLEZ",10204
"223","PINTO",16106
"224","CALLE LARGA",5302
"225","RENCA",13128
"226","ISLA DE MAIPO",13603
"227","QUELLÓN",10208
"228","PEÑAFLOR",13605
"229","SALAMANCA",4204
"230","QUINTA NORMAL",13126
"231","CORRAL",14102
"232","SANTA JUANA",8109
"233","QUEILÉN",10207
"234","LAUTARO",9108
"235","ANDACOLLO",4103
"236","COIHUECO",16302
"237","PUNITAQUI",4304
"238","QUEMCHI",10209
"239","SAN PEDRO DE LA PAZ",8108
"240","QUILLECO",8309
"241","VITACURA",13132
"242","LO BARNECHEA",13115
"243","PAIHUANO",4105
"244","PAILLACO",14107
"245","NEGRETE",8307
"246","LLAY LLAY",5703
"247","MACHALÍ",6108
"248","CABRERO",8303
"249","SANTO DOMINGO",5606
"250","SAN PABLO",10307
"251","LAS CONDES",13114
"252","COBQUECURA",16202
"253","ZAPALLAR",5405
"254","QUILPUÉ",5801
"255","NINHUE",16204
"256","TREHUACO",16207
"257","MÁFIL",14105
"258","ALGARROBO",5602
"259","PARRAL",7404
"260","MARÍA PINTO",13504
"261","CARTAGENA",5603
"262","EL TABO",5605
"263","NACIMIENTO",8306
"264","QUILACO",8308
"265","FRESIA",10104
"266","SAN IGNACIO",16108
"267","OLMUÉ",5803
"268","GRANEROS",6106
"269","SAGRADA FAMILIA",7307
"270","CUREPTO",7103
"271","SAN JOAQUÍN",13129
"272","HUALPÉN",8112
"273","RANQUIL",16206
"274","PERALILLO",6307
"275","LA ESTRELLA",6202
"276","COINCO",6103
"277","LOS ALAMOS",8206
"278","CONTULMO",8204
"279","ALTO BIOBÍO",8314
"280","PENCO",8107
"281","OLIVAR",6111
"282","SAN MIGUEL",13130
"283","LA CISTERNA",13109
"284","MARÍA ELENA",2302
"285","RETIRO",7405
"286","CHIGUAYANTE",8103
"287","SANTA MARÍA",5706
"288","PENCAHUE",7107
"289","CHILLÁN VIEJO",16103
"290","PAPUDO",5403
"291","COLBÚN",7402
"292","LOS LAGOS",14104
"293","RINCONADA",5303
"294","QUINCHAO",10210
"295","ERCILLA",9204
"296","EMPEDRADO",7104
"297","PIRQUE",13202
"298","ÑUÑOA",13120
