id,date,age,comuna_id,level,age_range,online
3319023,31-01-2020,69,9101,Universitaria incompleta. Técnica completa,>=60,False
3319064,,53,9101,,45-60,False
3319146,31-01-2020,52,1,Universitaria completa,45-60,False
3319194,28-01-2020,76,4303,Educación básica incompleta o inferior,>=60,False
3319239,04-02-2020,74,13501,Media incompleta (incluyendo Media Técnica),>=60,False
3319240,31-01-2020,49,9112,Universitaria incompleta. Técnica completa,45-60,False
3319286,15-01-2020,31,4303,Media incompleta (incluyendo Media Técnica),30-45,False
3319368,15-01-2020,65,4305,Educación básica incompleta o inferior,>=60,False
3319407,15-01-2020,,4301,Universitaria incompleta. Técnica completa,0-15,False
3319408,31-01-2020,,1,Universitaria completa,0-15,False
3319475,15-01-2020,37,4301,Técnica completa,30-45,False
3319508,15-01-2020,45,4301,Media completa. Técnica incompleta,45-60,False
3319542,15-01-2020,59,4303,Básica completa,45-60,False
3319629,03-01-2020,32,4101,Media incompleta (incluyendo Media Técnica),30-45,False
3319691,31-01-2020,79,9101,Universitaria completa,>=60,False
3319741,15-01-2020,,4303,Educación básica incompleta o inferior,0-15,False
3319809,15-01-2020,51,4303,Media incompleta (incluyendo Media Técnica),45-60,False
3319817,03-01-2020,32,1,Universitaria completa,30-45,False
3319849,,,1,,0-15,False
3319872,,,1,,0-15,False
3319926,03-01-2020,59,4102,Técnica completa,45-60,False
3319953,03-01-2020,29,4102,Técnica completa,15-30,False
3319986,03-01-2020,56,4102,Media completa. Técnica incompleta,45-60,False
3320534,15-02-2020,50,4301,Media completa. Técnica incompleta,45-60,False
3320564,15-02-2020,51,4301,Media completa. Técnica incompleta,45-60,False
3320648,15-01-2020,41,4303,Media completa. Técnica incompleta,30-45,False
3320739,16-01-2020,70,4301,Media incompleta (incluyendo Media Técnica),>=60,False
3320780,16-01-2020,72,4301,Técnica completa,>=60,False
3320909,16-01-2020,45,4301,Universitaria incompleta. Técnica completa,45-60,False
3321051,21-01-2020,34,4303,Media completa. Técnica incompleta,30-45,False
3321091,,,1,,0-15,False
3321197,20-01-2020,41,4302,Universitaria incompleta. Técnica completa,30-45,False
3321203,31-01-2020,66,4106,Educación básica incompleta o inferior,>=60,False
3321255,21-01-2020,31,4301,Universitaria incompleta. Técnica completa,30-45,False
3321266,31-01-2020,63,4101,Media completa. Técnica incompleta,>=60,False
3321293,31-01-2020,24,4106,Universitaria incompleta. Técnica completa,15-30,False
3321330,31-01-2020,22,4301,Media completa. Técnica incompleta,15-30,False
3321348,21-01-2020,35,4301,Técnica completa,30-45,False
3321367,,46,4106,Media completa. Técnica incompleta,45-60,False
3321391,20-01-2020,33,4301,Universitaria incompleta. Técnica completa,30-45,False
3321449,22-01-2020,50,4301,Técnica completa,45-60,False
3321486,20-01-2020,59,4301,Media incompleta (incluyendo Media Técnica),45-60,False
3321537,21-01-2020,44,4301,Universitaria incompleta. Técnica completa,30-45,False
3322528,04-02-2020,61,4101,Media incompleta (incluyendo Media Técnica),>=60,False
3323175,22-01-2020,32,4102,Universitaria completa,30-45,False
3323229,22-01-2020,40,4301,Técnica completa,30-45,False
3323284,29-01-2020,50,4301,Media incompleta (incluyendo Media Técnica),45-60,False
3325130,04-02-2020,36,4101,Media completa. Técnica incompleta,30-45,False
3325153,04-02-2020,27,4101,Técnica completa,15-30,False
3325224,29-01-2020,20,4301,Media completa. Técnica incompleta,15-30,False
3325291,24-01-2020,67,4301,Técnica completa,>=60,False
3325408,,19,5601,Media completa. Técnica incompleta,15-30,False
3325485,29-01-2020,31,4301,Universitaria completa,30-45,False
3325700,,,1,,0-15,False
3325752,29-01-2020,53,4301,Media incompleta (incluyendo Media Técnica),45-60,False
3325788,29-01-2020,38,4303,Técnica completa,30-45,False
3325835,29-01-2020,38,4303,Básica completa,30-45,False
3325879,29-01-2020,60,4301,Básica completa,>=60,False
3326010,29-01-2020,33,4303,Técnica completa,30-45,False
3326044,29-01-2020,62,4303,Media incompleta (incluyendo Media Técnica),>=60,False
3326063,03-02-2020,19,5603,Media completa. Técnica incompleta,15-30,False
3326085,03-04-2020,28,4303,Técnica completa,15-30,False
3326144,29-01-2020,19,4303,Universitaria incompleta. Técnica completa,15-30,False
